Task,Dataset,Dataset_number,Representation,Representer,Precision,Classifier,Sensitivity,Specificity,Accuracy,MCC
ionchannels_membraneproteins,balanced,5,frozen,ESM-2,full,CNN,93.00±2.00,98.00±2.00,96.00±1.00,0.92±0.03
iontransporters_membraneproteins,balanced,3,finetuned,ProtBERT-BFD,full,CNN,87.00±5.00,89.00±4.00,88.00±4.00,0.76±0.07
ionchannels_membraneproteins,balanced,4,frozen,ESM-2_15B,half,CNN,89.00±8.00,93.00±8.00,91.00±2.00,0.84±0.03
ionchannels_membraneproteins,balanced,1,frozen,ESM-2,half,CNN,85.00±10.00,93.00±5.00,90.00±2.00,0.80±0.04
iontransporters_membraneproteins,balanced,9,frozen,ProtT5,half,CNN,91.00±1.00,91.00±3.00,91.00±2.00,0.82±0.04
ionchannels_membraneproteins,balanced,7,finetuned,ProtBERT-BFD,half,CNN,90.00±5.00,92.00±7.00,91.00±4.00,0.82±0.08
iontransporters_membraneproteins,balanced,2,frozen,ProtBERT-BFD,half,CNN,86.00±2.00,90.00±3.00,88.00±1.00,0.76±0.03
ionchannels_membraneproteins,imbalanced,na,frozen,ProtBERT,half,CNN,68.00±4.00,100.00±0.00,98.00±0.00,0.81±0.02
iontransporters_membraneproteins,balanced,10,finetuned,ProtBERT,half,CNN,90.00±3.00,88.00±3.00,89.00±1.00,0.78±0.03
ionchannels_membraneproteins,balanced,3,finetuned,ESM-1b,half,CNN,85.00±5.00,95.00±2.00,90.00±1.00,0.81±0.02
ionchannels_membraneproteins,balanced,7,frozen,ProtBERT-BFD,half,CNN,90.00±5.00,91.00±5.00,91.00±3.00,0.82±0.06
iontransporters_membraneproteins,balanced,10,frozen,ProtBERT,full,CNN,89.00±3.00,89.00±3.00,89.00±1.00,0.78±0.02
iontransporters_membraneproteins,balanced,6,finetuned,ESM-2,full,CNN,89.00±3.00,92.00±5.00,91.00±2.00,0.82±0.04
ionchannels_membraneproteins,balanced,9,frozen,ProtBERT-BFD,half,CNN,81.00±15.00,90.00±9.00,86.00±5.00,0.73±0.09
iontransporters_membraneproteins,balanced,4,frozen,ESM-2,half,CNN,90.00±3.00,93.00±4.00,91.00±2.00,0.83±0.05
ionchannels_membraneproteins,balanced,7,finetuned,ESM-2,full,CNN,88.00±2.00,95.00±5.00,92.00±2.00,0.83±0.05
ionchannels_membraneproteins,balanced,9,finetuned,ESM-1b,full,CNN,88.00±3.00,95.00±6.00,92.00±3.00,0.84±0.06
iontransporters_membraneproteins,balanced,2,frozen,ESM-1b,half,CNN,90.00±5.00,89.00±8.00,89.00±3.00,0.79±0.06
iontransporters_membraneproteins,balanced,4,frozen,ESM-2_15B,half,CNN,88.00±1.00,94.00±3.00,91.00±2.00,0.82±0.03
iontransporters_membraneproteins,balanced,8,frozen,ESM-1b,half,CNN,89.00±2.00,93.00±5.00,91.00±3.00,0.82±0.06
ionchannels_membraneproteins,imbalanced,na,finetuned,ProtBERT,half,CNN,81.00±2.00,100.00±0.00,98.00±0.00,0.87±0.02
iontransporters_membraneproteins,balanced,1,frozen,ProtBERT,full,CNN,88.00±3.00,91.00±3.00,89.00±3.00,0.79±0.05
iontransporters_membraneproteins,balanced,3,finetuned,ESM-1b,half,CNN,90.00±2.00,94.00±3.00,92.00±1.00,0.85±0.03
ionchannels_membraneproteins,balanced,1,finetuned,ESM-1b,full,CNN,87.00±5.00,95.00±3.00,91.00±4.00,0.83±0.07
iontransporters_membraneproteins,balanced,8,finetuned,ProtBERT-BFD,half,CNN,85.00±2.00,88.00±7.00,86.00±4.00,0.73±0.07
ionchannels_membraneproteins,balanced,2,finetuned,ProtBERT-BFD,half,CNN,89.00±2.00,89.00±6.00,89.00±3.00,0.79±0.05
iontransporters_membraneproteins,balanced,2,finetuned,ESM-2,full,CNN,90.00±2.00,94.00±3.00,92.00±2.00,0.85±0.04
iontransporters_membraneproteins,balanced,4,frozen,ProtT5,half,CNN,91.00±2.00,92.00±3.00,91.00±2.00,0.83±0.04
ionchannels_membraneproteins,balanced,3,finetuned,ESM-2,full,CNN,90.00±6.00,95.00±3.00,92.00±1.00,0.85±0.03
ionchannels_membraneproteins,balanced,9,frozen,ESM-2,half,CNN,91.00±4.00,91.00±10.00,91.00±4.00,0.83±0.06
iontransporters_membraneproteins,balanced,5,frozen,ProtBERT,full,CNN,87.00±4.00,86.00±3.00,87.00±1.00,0.74±0.03
iontransporters_membraneproteins,balanced,7,frozen,ESM-1b,full,CNN,90.00±4.00,94.00±2.00,92.00±2.00,0.84±0.03
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,full,CNN,81.00±7.00,93.00±4.00,88.00±3.00,0.76±0.06
iontransporters_membraneproteins,imbalanced,na,frozen,ProtBERT,half,CNN,59.00±8.00,99.00±0.00,96.00±0.00,0.69±0.03
ionchannels_membraneproteins,balanced,10,frozen,ProtBERT-BFD,half,CNN,80.00±16.00,88.00±14.00,85.00±4.00,0.72±0.07
iontransporters_membraneproteins,balanced,10,frozen,ProtT5,half,CNN,89.00±4.00,94.00±3.00,92.00±2.00,0.84±0.04
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT,full,CNN,86.00±5.00,90.00±12.00,88.00±6.00,0.76±0.11
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,full,CNN,86.00±3.00,89.00±5.00,87.00±2.00,0.75±0.04
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT-BFD,full,CNN,87.00±8.00,86.00±10.00,87.00±6.00,0.74±0.11
iontransporters_membraneproteins,balanced,3,frozen,ProtBERT-BFD,half,CNN,86.00±4.00,89.00±5.00,88.00±4.00,0.75±0.08
ionchannels_iontransporters,na,na,frozen,ESM-2,full,CNN,93.00±2.00,96.00±2.00,94.00±1.00,0.88±0.02
ionchannels_membraneproteins,imbalanced,na,frozen,ESM-2_15B,half,CNN,85.00±6.00,100.00±0.00,99.00±0.00,0.88±0.03
iontransporters_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,half,CNN,87.00±3.00,91.00±3.00,89.00±3.00,0.78±0.05
ionchannels_membraneproteins,balanced,6,frozen,ESM-2,half,CNN,90.00±6.00,95.00±3.00,93.00±2.00,0.86±0.04
iontransporters_membraneproteins,balanced,9,finetuned,ProtBERT,full,CNN,86.00±1.00,88.00±5.00,87.00±3.00,0.74±0.05
ionchannels_membraneproteins,balanced,10,finetuned,ESM-2,half,CNN,90.00±7.00,94.00±4.00,92.00±2.00,0.84±0.04
ionchannels_membraneproteins,balanced,6,frozen,ProtT5,half,CNN,87.00±10.00,95.00±3.00,92.00±3.00,0.84±0.05
ionchannels_membraneproteins,imbalanced,na,finetuned,ESM-2,full,CNN,96.00±3.00,100.00±0.00,100.00±0.00,0.97±0.01
ionchannels_membraneproteins,balanced,5,finetuned,ProtBERT-BFD,full,CNN,92.00±6.00,86.00±9.00,89.00±3.00,0.79±0.05
ionchannels_membraneproteins,balanced,5,frozen,ESM-1b,full,CNN,91.00±3.00,93.00±3.00,92.00±2.00,0.84±0.03
ionchannels_membraneproteins,balanced,2,frozen,ESM-2,full,CNN,93.00±6.00,89.00±14.00,90.00±5.00,0.82±0.08
iontransporters_membraneproteins,balanced,8,finetuned,ProtBERT,half,CNN,88.00±2.00,86.00±6.00,87.00±4.00,0.74±0.07
iontransporters_membraneproteins,balanced,5,frozen,ESM-2_15B,half,CNN,89.00±4.00,95.00±1.00,92.00±3.00,0.84±0.05
ionchannels_membraneproteins,balanced,8,finetuned,ESM-1b,full,CNN,93.00±7.00,79.00±13.00,86.00±4.00,0.74±0.07
ionchannels_iontransporters,na,na,frozen,ProtBERT-BFD,half,CNN,91.00±3.00,93.00±5.00,92.00±3.00,0.84±0.06
iontransporters_membraneproteins,balanced,10,frozen,ESM-2,full,CNN,89.00±2.00,93.00±5.00,91.00±3.00,0.82±0.05
iontransporters_membraneproteins,balanced,9,finetuned,ESM-2,half,CNN,86.00±7.00,93.00±4.00,89.00±2.00,0.80±0.03
ionchannels_iontransporters,na,na,frozen,ESM-2_15B,half,CNN,94.00±2.00,94.00±3.00,94.00±1.00,0.89±0.02
ionchannels_membraneproteins,balanced,8,finetuned,ESM-2,half,CNN,90.00±4.00,90.00±13.00,90.00±6.00,0.82±0.10
iontransporters_membraneproteins,balanced,8,frozen,ProtBERT-BFD,full,CNN,85.00±2.00,87.00±8.00,86.00±4.00,0.72±0.08
iontransporters_membraneproteins,balanced,2,finetuned,ESM-1b,half,CNN,90.00±5.00,92.00±4.00,91.00±2.00,0.83±0.03
iontransporters_membraneproteins,balanced,6,frozen,ProtBERT-BFD,full,CNN,85.00±2.00,89.00±6.00,87.00±3.00,0.74±0.06
ionchannels_membraneproteins,balanced,9,finetuned,ProtBERT,full,CNN,83.00±6.00,87.00±10.00,85.00±3.00,0.71±0.05
iontransporters_membraneproteins,balanced,10,frozen,ProtBERT-BFD,half,CNN,86.00±5.00,91.00±5.00,89.00±3.00,0.78±0.05
ionchannels_membraneproteins,balanced,3,frozen,ProtBERT,half,CNN,82.00±11.00,89.00±11.00,86.00±4.00,0.73±0.08
ionchannels_membraneproteins,balanced,3,frozen,ProtBERT-BFD,full,CNN,88.00±8.00,82.00±12.00,85.00±3.00,0.71±0.05
ionchannels_membraneproteins,balanced,5,frozen,ESM-2_15B,half,CNN,93.00±3.00,96.00±1.00,95.00±1.00,0.89±0.03
iontransporters_membraneproteins,balanced,8,finetuned,ESM-1b,full,CNN,86.00±2.00,94.00±5.00,90.00±2.00,0.80±0.05
ionchannels_membraneproteins,balanced,1,frozen,ProtT5,half,CNN,90.00±6.00,94.00±4.00,92.00±2.00,0.85±0.03
ionchannels_membraneproteins,balanced,8,frozen,ESM-1b,full,CNN,86.00±9.00,94.00±7.00,91.00±4.00,0.82±0.07
iontransporters_membraneproteins,balanced,2,frozen,ProtBERT,half,CNN,87.00±3.00,90.00±6.00,89.00±2.00,0.78±0.05
ionchannels_membraneproteins,balanced,10,frozen,ESM-1b,full,CNN,86.00±2.00,96.00±2.00,91.00±1.00,0.83±0.02
ionchannels_membraneproteins,balanced,4,finetuned,ESM-2,half,CNN,90.00±4.00,96.00±3.00,93.00±2.00,0.87±0.04
ionchannels_membraneproteins,balanced,8,finetuned,ProtBERT,half,CNN,83.00±6.00,92.00±8.00,88.00±2.00,0.77±0.03
ionchannels_membraneproteins,balanced,2,frozen,ESM-1b,full,CNN,88.00±2.00,93.00±5.00,91.00±3.00,0.82±0.07
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT-BFD,half,CNN,86.00±5.00,89.00±4.00,88.00±3.00,0.76±0.07
iontransporters_membraneproteins,balanced,5,finetuned,ESM-2,half,CNN,89.00±2.00,94.00±3.00,91.00±1.00,0.83±0.03
ionchannels_membraneproteins,balanced,2,finetuned,ESM-1b,half,CNN,93.00±2.00,94.00±4.00,94.00±3.00,0.87±0.06
iontransporters_membraneproteins,imbalanced,na,finetuned,ESM-2,full,CNN,98.00±2.00,100.00±0.00,100.00±0.00,0.98±0.01
ionchannels_membraneproteins,balanced,7,frozen,ProtBERT,half,CNN,88.00±5.00,85.00±12.00,86.00±5.00,0.74±0.09
iontransporters_membraneproteins,balanced,7,frozen,ESM-2,full,CNN,91.00±3.00,94.00±1.00,92.00±2.00,0.84±0.03
ionchannels_membraneproteins,balanced,10,frozen,ESM-2_15B,half,CNN,88.00±3.00,98.00±2.00,93.00±1.00,0.86±0.02
iontransporters_membraneproteins,balanced,6,frozen,ProtBERT,half,CNN,87.00±4.00,88.00±4.00,87.00±2.00,0.75±0.04
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,half,CNN,89.00±6.00,92.00±4.00,91.00±2.00,0.82±0.05
iontransporters_membraneproteins,balanced,10,finetuned,ESM-2,half,CNN,89.00±3.00,94.00±5.00,91.00±3.00,0.83±0.06
ionchannels_membraneproteins,balanced,8,frozen,ProtBERT-BFD,half,CNN,89.00±13.00,85.00±12.00,87.00±6.00,0.75±0.11
ionchannels_membraneproteins,balanced,6,frozen,ProtBERT-BFD,half,CNN,88.00±6.00,89.00±6.00,88.00±3.00,0.76±0.06
iontransporters_membraneproteins,balanced,1,finetuned,ESM-2,half,CNN,89.00±5.00,95.00±3.00,92.00±2.00,0.84±0.04
ionchannels_membraneproteins,imbalanced,na,frozen,ProtBERT-BFD,full,CNN,75.00±8.00,99.00±1.00,97.00±1.00,0.80±0.04
iontransporters_membraneproteins,balanced,3,frozen,ESM-2,half,CNN,90.00±2.00,94.00±2.00,92.00±2.00,0.84±0.04
iontransporters_membraneproteins,balanced,7,frozen,ProtBERT,full,CNN,89.00±2.00,89.00±3.00,89.00±2.00,0.78±0.03
ionchannels_iontransporters,na,na,finetuned,ESM-2,half,CNN,93.00±3.00,93.00±3.00,93.00±1.00,0.86±0.03
iontransporters_membraneproteins,balanced,7,finetuned,ProtBERT-BFD,full,CNN,86.00±3.00,87.00±3.00,86.00±2.00,0.73±0.04
iontransporters_membraneproteins,balanced,9,frozen,ESM-2,half,CNN,90.00±3.00,91.00±4.00,91.00±2.00,0.82±0.04
iontransporters_membraneproteins,imbalanced,na,finetuned,ProtBERT-BFD,half,CNN,87.00±4.00,99.00±1.00,98.00±0.00,0.89±0.03
ionchannels_membraneproteins,balanced,8,frozen,ProtT5,half,CNN,87.00±5.00,97.00±3.00,92.00±2.00,0.85±0.04
ionchannels_membraneproteins,balanced,10,finetuned,ESM-1b,half,CNN,85.00±2.00,96.00±2.00,91.00±1.00,0.82±0.02
ionchannels_membraneproteins,balanced,10,frozen,ProtT5,half,CNN,89.00±5.00,95.00±5.00,92.00±2.00,0.85±0.04
ionchannels_membraneproteins,balanced,1,frozen,ESM-1b,full,CNN,93.00±4.00,88.00±10.00,90.00±3.00,0.81±0.06
ionchannels_membraneproteins,balanced,2,frozen,ProtT5,half,CNN,90.00±4.00,92.00±8.00,91.00±3.00,0.82±0.06
iontransporters_membraneproteins,balanced,9,finetuned,ProtBERT-BFD,half,CNN,87.00±4.00,89.00±3.00,88.00±4.00,0.75±0.07
ionchannels_membraneproteins,balanced,1,finetuned,ESM-2,full,CNN,88.00±12.00,91.00±10.00,90.00±5.00,0.81±0.08
iontransporters_membraneproteins,balanced,7,finetuned,ESM-1b,full,CNN,88.00±4.00,94.00±1.00,91.00±2.00,0.82±0.04
ionchannels_membraneproteins,balanced,3,finetuned,ProtBERT-BFD,half,CNN,82.00±6.00,92.00±5.00,88.00±3.00,0.76±0.07
iontransporters_membraneproteins,imbalanced,na,finetuned,ESM-1b,full,CNN,99.00±1.00,100.00±0.00,100.00±0.00,0.99±0.01
ionchannels_membraneproteins,imbalanced,na,frozen,ESM-1b,half,CNN,82.00±7.00,99.00±1.00,98.00±1.00,0.83±0.07
ionchannels_membraneproteins,balanced,5,finetuned,ESM-1b,half,CNN,88.00±8.00,95.00±4.00,92.00±4.00,0.84±0.07
iontransporters_membraneproteins,balanced,3,frozen,ProtBERT,full,CNN,88.00±4.00,89.00±4.00,88.00±1.00,0.77±0.02
iontransporters_membraneproteins,balanced,2,finetuned,ProtBERT,half,CNN,88.00±2.00,89.00±5.00,88.00±2.00,0.77±0.05
ionchannels_membraneproteins,balanced,6,finetuned,ProtBERT,full,CNN,86.00±6.00,91.00±9.00,89.00±3.00,0.78±0.06
ionchannels_membraneproteins,balanced,5,frozen,ProtBERT-BFD,half,CNN,88.00±7.00,90.00±5.00,89.00±3.00,0.79±0.05
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT,full,CNN,84.00±9.00,91.00±6.00,88.00±3.00,0.76±0.06
ionchannels_membraneproteins,balanced,4,frozen,ESM-2,half,CNN,88.00±6.00,95.00±7.00,92.00±2.00,0.84±0.04
ionchannels_membraneproteins,balanced,4,frozen,ESM-1b,half,CNN,92.00±2.00,91.00±7.00,91.00±4.00,0.83±0.08
ionchannels_membraneproteins,balanced,2,frozen,ESM-2_15B,half,CNN,88.00±2.00,99.00±1.00,94.00±1.00,0.88±0.01
ionchannels_membraneproteins,balanced,5,finetuned,ESM-2,full,CNN,85.00±5.00,99.00±1.00,92.00±2.00,0.85±0.04
iontransporters_membraneproteins,balanced,3,finetuned,ProtBERT,full,CNN,88.00±4.00,89.00±5.00,89.00±1.00,0.78±0.03
ionchannels_membraneproteins,balanced,7,finetuned,ProtBERT,half,CNN,84.00±5.00,91.00±3.00,88.00±2.00,0.75±0.04
iontransporters_membraneproteins,imbalanced,na,frozen,ESM-1b,half,CNN,72.00±6.00,99.00±1.00,97.00±0.00,0.77±0.03
iontransporters_membraneproteins,balanced,5,finetuned,ESM-1b,half,CNN,88.00±4.00,95.00±3.00,92.00±3.00,0.83±0.06
iontransporters_membraneproteins,balanced,5,frozen,ESM-2,full,CNN,89.00±3.00,94.00±3.00,91.00±1.00,0.83±0.02
ionchannels_membraneproteins,imbalanced,na,finetuned,ProtBERT-BFD,half,CNN,76.00±2.00,100.00±0.00,98.00±0.00,0.82±0.02
ionchannels_membraneproteins,balanced,6,frozen,ESM-1b,full,CNN,90.00±4.00,96.00±3.00,93.00±2.00,0.86±0.04
ionchannels_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,half,CNN,83.00±17.00,78.00±21.00,80.00±7.00,0.65±0.10
iontransporters_membraneproteins,balanced,2,frozen,ESM-2_15B,half,CNN,87.00±1.00,94.00±4.00,90.00±2.00,0.81±0.04
ionchannels_membraneproteins,balanced,9,finetuned,ESM-2,full,CNN,90.00±5.00,91.00±7.00,91.00±2.00,0.82±0.05
ionchannels_membraneproteins,balanced,8,finetuned,ProtBERT-BFD,full,CNN,90.00±5.00,87.00±12.00,88.00±4.00,0.78±0.07
iontransporters_membraneproteins,balanced,2,finetuned,ProtBERT-BFD,full,CNN,89.00±2.00,89.00±3.00,89.00±1.00,0.78±0.02
ionchannels_membraneproteins,balanced,5,frozen,ProtT5,half,CNN,93.00±2.00,90.00±8.00,91.00±4.00,0.83±0.09
ionchannels_iontransporters,na,na,finetuned,ESM-1b,half,CNN,93.00±2.00,94.00±3.00,93.00±1.00,0.87±0.02
iontransporters_membraneproteins,balanced,8,finetuned,ESM-2,full,CNN,89.00±2.00,93.00±3.00,91.00±1.00,0.82±0.03
iontransporters_membraneproteins,balanced,1,frozen,ESM-2,half,CNN,90.00±3.00,94.00±4.00,92.00±1.00,0.84±0.02
ionchannels_membraneproteins,balanced,2,finetuned,ProtBERT,half,CNN,85.00±11.00,89.00±10.00,87.00±3.00,0.75±0.05
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT,full,CNN,88.00±3.00,88.00±4.00,88.00±2.00,0.76±0.04
iontransporters_membraneproteins,balanced,5,frozen,ProtBERT-BFD,full,CNN,86.00±5.00,89.00±5.00,88.00±4.00,0.76±0.07
ionchannels_iontransporters,na,na,finetuned,ProtBERT-BFD,full,CNN,91.00±3.00,93.00±4.00,92.00±3.00,0.84±0.06
ionchannels_membraneproteins,imbalanced,na,finetuned,ESM-1b,half,CNN,100.00±1.00,100.00±0.00,100.00±0.00,0.99±0.01
ionchannels_membraneproteins,balanced,9,frozen,ESM-1b,half,CNN,90.00±6.00,74.00±17.00,82.00±9.00,0.66±0.16
ionchannels_membraneproteins,balanced,8,frozen,ESM-2,full,CNN,88.00±5.00,96.00±3.00,93.00±3.00,0.86±0.05
ionchannels_membraneproteins,balanced,3,frozen,ESM-1b,half,CNN,89.00±4.00,89.00±9.00,89.00±4.00,0.78±0.08
ionchannels_membraneproteins,balanced,3,finetuned,ProtBERT,full,CNN,83.00±13.00,87.00±11.00,85.00±5.00,0.72±0.09
iontransporters_membraneproteins,balanced,7,finetuned,ProtBERT,half,CNN,89.00±2.00,88.00±4.00,89.00±2.00,0.77±0.04
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT-BFD,full,CNN,83.00±9.00,91.00±6.00,87.00±4.00,0.75±0.09
ionchannels_membraneproteins,balanced,7,finetuned,ESM-1b,full,CNN,90.00±5.00,95.00±3.00,93.00±2.00,0.86±0.03
ionchannels_membraneproteins,balanced,8,finetuned,ProtBERT,full,CNN,86.00±3.00,88.00±11.00,87.00±5.00,0.75±0.09
ionchannels_membraneproteins,balanced,4,finetuned,ESM-2,full,CNN,93.00±2.00,95.00±4.00,94.00±1.00,0.88±0.02
ionchannels_membraneproteins,balanced,2,frozen,ESM-1b,half,CNN,89.00±3.00,91.00±9.00,90.00±4.00,0.81±0.07
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT-BFD,full,CNN,86.00±4.00,89.00±5.00,87.00±4.00,0.74±0.09
iontransporters_membraneproteins,balanced,5,finetuned,ESM-2,full,CNN,88.00±2.00,94.00±4.00,91.00±2.00,0.83±0.04
ionchannels_membraneproteins,balanced,2,finetuned,ESM-1b,full,CNN,88.00±2.00,95.00±2.00,92.00±1.00,0.84±0.02
iontransporters_membraneproteins,imbalanced,na,finetuned,ESM-2,half,CNN,98.00±2.00,100.00±0.00,100.00±0.00,0.97±0.01
iontransporters_membraneproteins,balanced,10,frozen,ProtBERT-BFD,full,CNN,86.00±5.00,91.00±5.00,88.00±3.00,0.77±0.05
ionchannels_membraneproteins,balanced,9,finetuned,ProtBERT,half,CNN,87.00±5.00,88.00±12.00,87.00±5.00,0.75±0.09
ionchannels_membraneproteins,balanced,3,frozen,ProtBERT,full,CNN,85.00±8.00,88.00±8.00,87.00±2.00,0.74±0.04
ionchannels_membraneproteins,balanced,3,frozen,ProtBERT-BFD,half,CNN,86.00±8.00,86.00±13.00,86.00±4.00,0.73±0.06
iontransporters_membraneproteins,balanced,8,finetuned,ESM-1b,half,CNN,87.00±3.00,92.00±4.00,90.00±1.00,0.80±0.03
ionchannels_membraneproteins,balanced,10,frozen,ESM-1b,half,CNN,93.00±2.00,93.00±5.00,93.00±3.00,0.85±0.06
iontransporters_membraneproteins,imbalanced,na,frozen,ESM-2_15B,half,CNN,71.00±8.00,99.00±0.00,97.00±0.00,0.79±0.03
iontransporters_membraneproteins,balanced,2,frozen,ProtBERT,full,CNN,88.00±2.00,90.00±6.00,89.00±3.00,0.77±0.05
ionchannels_membraneproteins,balanced,8,frozen,ESM-1b,half,CNN,88.00±6.00,96.00±2.00,93.00±2.00,0.85±0.04
ionchannels_membraneproteins,balanced,4,frozen,ProtT5,half,CNN,83.00±12.00,95.00±4.00,89.00±4.00,0.80±0.07
iontransporters_membraneproteins,balanced,7,frozen,ESM-2_15B,half,CNN,88.00±2.00,94.00±2.00,91.00±2.00,0.82±0.04
ionchannels_membraneproteins,balanced,8,frozen,ProtBERT-BFD,full,CNN,90.00±4.00,94.00±3.00,92.00±2.00,0.84±0.05
ionchannels_membraneproteins,balanced,6,frozen,ProtBERT-BFD,full,CNN,86.00±9.00,86.00±8.00,86.00±1.00,0.74±0.02
iontransporters_membraneproteins,balanced,3,frozen,ESM-2,full,CNN,90.00±2.00,92.00±5.00,91.00±2.00,0.82±0.05
ionchannels_membraneproteins,imbalanced,na,frozen,ProtBERT-BFD,half,CNN,71.00±9.00,99.00±1.00,97.00±1.00,0.78±0.05
iontransporters_membraneproteins,balanced,1,finetuned,ESM-2,full,CNN,90.00±2.00,95.00±3.00,92.00±1.00,0.85±0.03
iontransporters_membraneproteins,balanced,7,frozen,ESM-2,half,CNN,90.00±2.00,93.00±3.00,92.00±1.00,0.83±0.02
ionchannels_membraneproteins,balanced,7,frozen,ProtBERT,full,CNN,81.00±8.00,94.00±10.00,88.00±2.00,0.77±0.03
ionchannels_membraneproteins,imbalanced,na,frozen,ProtT5,half,CNN,84.00±6.00,99.00±0.00,98.00±1.00,0.87±0.05
iontransporters_membraneproteins,balanced,6,frozen,ProtBERT,full,CNN,87.00±2.00,87.00±4.00,87.00±2.00,0.74±0.03
iontransporters_membraneproteins,balanced,10,finetuned,ESM-2,full,CNN,90.00±1.00,93.00±4.00,91.00±2.00,0.83±0.04
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,full,CNN,88.00±3.00,91.00±7.00,89.00±3.00,0.79±0.05
ionchannels_membraneproteins,balanced,5,finetuned,ProtBERT-BFD,half,CNN,91.00±5.00,89.00±9.00,90.00±4.00,0.81±0.07
ionchannels_membraneproteins,balanced,7,frozen,ESM-2_15B,half,CNN,86.00±5.00,96.00±3.00,92.00±2.00,0.83±0.03
ionchannels_membraneproteins,imbalanced,na,finetuned,ESM-2,half,CNN,97.00±3.00,100.00±0.00,100.00±0.00,0.97±0.02
ionchannels_membraneproteins,balanced,2,frozen,ESM-2,half,CNN,91.00±4.00,91.00±5.00,91.00±2.00,0.83±0.05
ionchannels_membraneproteins,balanced,5,frozen,ESM-1b,half,CNN,83.00±13.00,98.00±2.00,91.00±6.00,0.83±0.09
iontransporters_membraneproteins,balanced,8,finetuned,ProtBERT,full,CNN,88.00±3.00,88.00±6.00,88.00±4.00,0.75±0.08
ionchannels_iontransporters,na,na,frozen,ESM-2,half,CNN,93.00±3.00,92.00±6.00,92.00±2.00,0.85±0.04
iontransporters_membraneproteins,balanced,3,frozen,ProtBERT-BFD,full,CNN,86.00±6.00,89.00±5.00,87.00±5.00,0.74±0.10
iontransporters_membraneproteins,imbalanced,na,frozen,ProtT5,half,CNN,69.00±8.00,99.00±1.00,97.00±0.00,0.76±0.03
iontransporters_membraneproteins,balanced,9,finetuned,ProtBERT,half,CNN,89.00±2.00,88.00±4.00,88.00±3.00,0.77±0.06
ionchannels_membraneproteins,balanced,6,frozen,ESM-2,full,CNN,88.00±5.00,93.00±7.00,91.00±3.00,0.82±0.06
iontransporters_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,full,CNN,88.00±3.00,91.00±4.00,89.00±3.00,0.79±0.06
ionchannels_membraneproteins,balanced,10,finetuned,ESM-2,full,CNN,88.00±7.00,91.00±7.00,90.00±4.00,0.80±0.08
ionchannels_iontransporters,na,na,frozen,ProtBERT-BFD,full,CNN,92.00±4.00,93.00±4.00,92.00±3.00,0.84±0.07
ionchannels_membraneproteins,balanced,3,frozen,ProtT5,half,CNN,86.00±9.00,95.00±3.00,91.00±3.00,0.82±0.06
iontransporters_membraneproteins,balanced,9,finetuned,ESM-2,full,CNN,85.00±7.00,94.00±4.00,89.00±2.00,0.80±0.04
iontransporters_membraneproteins,balanced,10,frozen,ESM-2,half,CNN,88.00±1.00,94.00±4.00,91.00±2.00,0.82±0.05
